IDKaryawan;NamaDepan;NamaBelakang;Jabatan;Email;HireDate;Extension
1613;Susan;Potter;Customer Service Representative;spotter@red30tech.com#mailto:spotter@red30tech.com#;04/05/2016;1813
1660;Lewis;Rivas;Senior Writer;lrivas@red30tech.com#mailto:lrivas@red30tech.com#;08/05/2016;1894
1672;Tucker;Quinn;Sales Representative;tquinn@red30tech.com#mailto:tquinn@red30tech.com#;20/08/2016;1827
1690;Kermit;Bowen;Sales Representative;kbowen@red30tech.com#mailto:kbowen@red30tech.com#;21/09/2016;1756
1695;Devin;David;CFO;ddavid@red30tech.com#mailto:ddavid@red30tech.com#;10/10/2016;1634
1710;Whilemina;Gutierrez;Video Editor;wgutierrez@red30tech.com#mailto:wgutierrez@red30tech.com#;19/10/2016;1538
1723;Ella;Callahan;Product Manager;ecallahan@red30tech.com#mailto:ecallahan@red30tech.com#;28/10/2016;1876
1734;Quincy;Lindsay;Designer;qlindsay@red30tech.com#mailto:qlindsay@red30tech.com#;27/12/2016;1500
1748;Suki;Gillespie;Photographer;sgillespie@red30tech.com#mailto:sgillespie@red30tech.com#;18/04/2017;1337
1770;Thor;Watson;Customer Service Representative;twatson@red30tech.com#mailto:twatson@red30tech.com#;02/07/2017;1387
1804;Julie;Davenport;Customer Service Representative;jdavenport@red30tech.com#mailto:jdavenport@red30tech.com#;04/07/2017;1761
1816;Grant;Nguyen;Sales Representative;gnguyen@red30tech.com#mailto:gnguyen@red30tech.com#;10/07/2017;1853
1855;Natalie;Norris;Server Adminstrator;nnorris@red30tech.com#mailto:nnorris@red30tech.com#;27/07/2017;1384
1870;Basil;Pope;Server Adminstrator;bpope@red30tech.com#mailto:bpope@red30tech.com#;13/09/2017;1787
1873;Erin;Atkinson;Customer Service Representative;eatkinson@red30tech.com#mailto:eatkinson@red30tech.com#;12/10/2017;1847
1899;Scarlet;Mccoy;Accountant;smccoy@red30tech.com#mailto:smccoy@red30tech.com#;18/10/2017;1405
1903;Addison;Beck;Server Adminstrator;abeck@red30tech.com#mailto:abeck@red30tech.com#;20/11/2017;1600
1916;Deborah;Harper;Photographer;dharper@red30tech.com#mailto:dharper@red30tech.com#;13/12/2017;1293
1917;Deanna;Rowland;Designer;drowland@red30tech.com#mailto:drowland@red30tech.com#;13/01/2018;1358
1920;Brielle;Lester;Sales Representative;blester@red30tech.com#mailto:blester@red30tech.com#;19/02/2018;1872
1932;Helen;Leon;Video Editor;hleon@red30tech.com#mailto:hleon@red30tech.com#;15/03/2018;1366
1935;Hermione;Lane;Product Manager;hlane@red30tech.com#mailto:hlane@red30tech.com#;21/05/2018;1549
1940;Ebony;Schneider;Travel Writer;eschneider@red30tech.com#mailto:eschneider@red30tech.com#;03/06/2018;1376
1943;Amelia;Mcfadden;Customer Service Representative;amcfadden@red30tech.com#mailto:amcfadden@red30tech.com#;25/06/2018;1529
1976;Guinevere;Banks;Engineer;gbanks@red30tech.com#mailto:gbanks@red30tech.com#;09/07/2018;1548
2002;Lila;Young;Sales Representative;lyoung@red30tech.com#mailto:lyoung@red30tech.com#;09/08/2018;1396
2037;Gavin;Medina;Chief Technology Officer;gmedina@red30tech.com#mailto:gmedina@red30tech.com#;28/08/2018;1291
2045;Amethyst;Ashley;Customer Service Representative;aashley@red30tech.com#mailto:aashley@red30tech.com#;19/10/2018;1670
2047;Bert;Russell;Vice President HR;brussell@red30tech.com#mailto:brussell@red30tech.com#;22/10/2018;1574
2056;Hector;Dillon;Accountant;hdillon@red30tech.com#mailto:hdillon@red30tech.com#;04/02/2019;1578
2090;Brock;Pace;Copy Writer;bpace@red30tech.com#mailto:bpace@red30tech.com#;18/02/2019;1898
2098;Reagan;Wheeler;Executive Assistant;rwheeler@red30tech.com#mailto:rwheeler@red30tech.com#;18/03/2019;1258
2102;Jemima;Mccormick;Customer Service Representative;jmccormick@red30tech.com#mailto:jmccormick@red30tech.com#;02/04/2019;1377
2150;Logan;Davenport;Sales Representative;ldavenport@red30tech.com#mailto:ldavenport@red30tech.com#;02/07/2019;1498
2155;Dominic;Buchanan;Product Manager;dbuchanan@red30tech.com#mailto:dbuchanan@red30tech.com#;22/09/2019;1892
2156;Roanna;Bush;Video Editor;rbush@red30tech.com#mailto:rbush@red30tech.com#;25/10/2019;1465
2159;Ciara;Lane;Photographer;clane@red30tech.com#mailto:clane@red30tech.com#;28/11/2019;1751
2198;Ainsley;Barnett;Customer Service Representative;abarnett@red30tech.com#mailto:abarnett@red30tech.com#;09/12/2019;1457
2200;Carter;Peterson;Customer Service Representative;cpeterson@red30tech.com#mailto:cpeterson@red30tech.com#;24/12/2019;1491
2212;Dacey;Flynn;Server Adminstrator;dflynn@red30tech.com#mailto:dflynn@red30tech.com#;31/12/2019;1865
2221;Eric;Burch;Product Manager;eburch@red30tech.com#mailto:eburch@red30tech.com#;12/01/2020;1489
2241;Alexa;Moses;Copy Writer;amoses@red30tech.com#mailto:amoses@red30tech.com#;20/02/2020;1828
2286;Yvonne;Fischer;Product Manager;yfischer@red30tech.com#mailto:yfischer@red30tech.com#;07/08/2020;1760
2294;Denton;Lester;Customer Service Representative;dlester@red30tech.com#mailto:dlester@red30tech.com#;04/10/2020;1723
2295;Thane;Rivers;Senior Writer;trivers@red30tech.com#mailto:trivers@red30tech.com#;25/10/2020;1276
2326;Abbot;Petty;Travel Writer;apetty@red30tech.com#mailto:apetty@red30tech.com#;19/11/2020;1775
2330;Davis;Lang;Product Manager;dlang@red30tech.com#mailto:dlang@red30tech.com#;09/01/2021;1298
2347;Serina;Phelps;Video Editor;sphelps@red30tech.com#mailto:sphelps@red30tech.com#;03/02/2021;1702
2363;Amaya;Witt;Customer Service Representative;awitt@red30tech.com#mailto:awitt@red30tech.com#;21/02/2021;1785
2373;Zahir;Pickett;Web Designer;zpickett@red30tech.com#mailto:zpickett@red30tech.com#;21/05/2021;1273
2388;Rahim;Hyde;Customer Service Representative;rhyde@red30tech.com#mailto:rhyde@red30tech.com#;21/05/2021;1549
2414;Yvette;Diaz;Web Designer;ydiaz@red30tech.com#mailto:ydiaz@red30tech.com#;03/06/2021;1376
2417;Shay;Gaines;Product Manager;sgaines@red30tech.com#mailto:sgaines@red30tech.com#;19/06/2021;1786
2463;Gage;Hurley;HR Assistant;ghurley@red30tech.com#mailto:ghurley@red30tech.com#;17/08/2021;1349
